order_id,date,time
60,2015-01-01,20:05:16
61,2015-01-01,20:08:43
62,2015-01-01,20:50:16
63,2015-01-01,20:51:42
64,2015-01-01,20:52:08
65,2015-01-01,21:16:00
66,2015-01-01,21:47:55
67,2015-01-01,22:03:40
68,2015-01-01,22:07:32
69,2015-01-01,22:12:13
123,2015-01-02,20:12:09
124,2015-01-02,20:12:34
125,2015-01-02,20:31:06
126,2015-01-02,20:53:42
127,2015-01-02,20:58:23
128,2015-01-02,21:05:06
129,2015-01-02,21:13:02
130,2015-01-02,21:14:55
131,2015-01-02,21:33:10
132,2015-01-02,21:42:45
133,2015-01-02,22:00:17
134,2015-01-02,22:13:24
135,2015-01-02,22:29:34
136,2015-01-02,22:32:49
188,2015-01-03,20:08:39
189,2015-01-03,20:12:14
190,2015-01-03,20:14:23
191,2015-01-03,20:24:50
192,2015-01-03,20:30:08
193,2015-01-03,20:55:47
194,2015-01-03,21:21:24
195,2015-01-03,21:25:20
196,2015-01-03,21:40:14
197,2015-01-03,21:47:48
198,2015-01-03,21:55:42
199,2015-01-03,22:10:38
200,2015-01-03,22:24:05
201,2015-01-03,22:29:59
202,2015-01-03,22:50:29
240,2015-01-04,20:10:24
241,2015-01-04,20:11:25
242,2015-01-04,20:15:29
243,2015-01-04,20:26:17
244,2015-01-04,20:26:22
245,2015-01-04,20:28:41
246,2015-01-04,20:30:48
247,2015-01-04,20:55:29
248,2015-01-04,20:58:19
249,2015-01-04,21:06:16
250,2015-01-04,21:07:05
251,2015-01-04,21:10:05
252,2015-01-04,22:13:15
253,2015-01-04,22:16:18
254,2015-01-04,22:22:13
303,2015-01-05,20:02:51
304,2015-01-05,20:07:58
305,2015-01-05,20:35:40
306,2015-01-05,20:37:40
307,2015-01-05,21:45:38
308,2015-01-05,21:59:46
366,2015-01-06,20:04:20
367,2015-01-06,20:05:12
368,2015-01-06,20:28:16
369,2015-01-06,20:30:06
370,2015-01-06,21:02:30
371,2015-01-06,21:15:20
372,2015-01-06,22:26:59
424,2015-01-07,20:01:28
425,2015-01-07,20:21:19
426,2015-01-07,20:25:45
427,2015-01-07,21:49:00
428,2015-01-07,22:05:00
429,2015-01-07,22:16:53
430,2015-01-07,22:46:13
498,2015-01-08,20:02:25
499,2015-01-08,21:10:46
500,2015-01-08,21:46:49
501,2015-01-08,21:51:31
502,2015-01-08,22:26:08
553,2015-01-09,20:14:47
554,2015-01-09,20:15:51
555,2015-01-09,20:18:25
556,2015-01-09,20:23:12
557,2015-01-09,20:30:06
558,2015-01-09,20:51:10
559,2015-01-09,21:10:16
560,2015-01-09,21:13:48
561,2015-01-09,21:47:56
562,2015-01-09,22:04:05
563,2015-01-09,22:19:03
564,2015-01-09,22:32:32
613,2015-01-10,20:10:44
614,2015-01-10,20:12:33
615,2015-01-10,20:14:03
616,2015-01-10,20:20:10
617,2015-01-10,20:27:26
618,2015-01-10,20:31:14
619,2015-01-10,20:41:58
620,2015-01-10,20:45:45
621,2015-01-10,20:49:29
622,2015-01-10,20:57:41
623,2015-01-10,21:21:21
624,2015-01-10,21:22:44
625,2015-01-10,21:50:23
626,2015-01-10,21:55:12
627,2015-01-10,22:18:35
628,2015-01-10,22:47:17
629,2015-01-10,22:48:39
679,2015-01-11,20:31:02
680,2015-01-11,21:07:30
681,2015-01-11,21:29:50
734,2015-01-12,20:00:30
735,2015-01-12,20:35:34
736,2015-01-12,21:35:14
780,2015-01-13,20:12:49
781,2015-01-13,20:31:17
782,2015-01-13,20:36:27
783,2015-01-13,21:17:08
784,2015-01-13,21:39:41
836,2015-01-14,20:08:08
837,2015-01-14,20:12:27
838,2015-01-14,20:33:57
839,2015-01-14,20:40:40
840,2015-01-14,20:46:12
841,2015-01-14,20:57:40
842,2015-01-14,21:09:39
843,2015-01-14,21:32:21
844,2015-01-14,21:36:58
845,2015-01-14,21:42:56
846,2015-01-14,22:16:24
904,2015-01-15,20:07:01
905,2015-01-15,20:12:06
906,2015-01-15,20:51:59
907,2015-01-15,20:54:32
908,2015-01-15,21:42:32
963,2015-01-16,20:06:41
964,2015-01-16,20:24:37
965,2015-01-16,20:41:02
966,2015-01-16,20:59:17
967,2015-01-16,21:03:33
968,2015-01-16,21:23:01
969,2015-01-16,21:36:19
970,2015-01-16,21:44:35
971,2015-01-16,21:46:20
972,2015-01-16,22:03:09
973,2015-01-16,22:06:08
974,2015-01-16,22:06:53
975,2015-01-16,22:10:21
1017,2015-01-17,20:13:32
1018,2015-01-17,20:38:50
1019,2015-01-17,20:50:54
1020,2015-01-17,21:04:20
1021,2015-01-17,21:11:31
1022,2015-01-17,21:16:01
1023,2015-01-17,21:20:18
1024,2015-01-17,21:21:23
1025,2015-01-17,21:49:00
1026,2015-01-17,21:55:05
1027,2015-01-17,21:57:02
1028,2015-01-17,22:02:45
1029,2015-01-17,22:06:27
1030,2015-01-17,22:13:59
1077,2015-01-18,20:13:25
1078,2015-01-18,20:20:42
1079,2015-01-18,20:45:11
1080,2015-01-18,21:22:58
1081,2015-01-18,21:27:05
1134,2015-01-19,20:05:41
1135,2015-01-19,21:15:41
1136,2015-01-19,21:59:06
1137,2015-01-19,22:13:28
1192,2015-01-20,20:15:27
1193,2015-01-20,20:26:22
1194,2015-01-20,20:27:18
1195,2015-01-20,20:39:52
1196,2015-01-20,20:44:41
1197,2015-01-20,20:53:41
1198,2015-01-20,22:02:08
1199,2015-01-20,22:10:20
1200,2015-01-20,22:14:41
1201,2015-01-20,22:40:10
1248,2015-01-21,20:13:51
1249,2015-01-21,20:40:44
1250,2015-01-21,21:09:08
1251,2015-01-21,21:12:37
1252,2015-01-21,21:32:07
1309,2015-01-22,20:04:42
1310,2015-01-22,20:19:33
1311,2015-01-22,20:21:28
1312,2015-01-22,20:23:41
1313,2015-01-22,20:24:29
1314,2015-01-22,20:40:55
1315,2015-01-22,20:46:44
1316,2015-01-22,20:48:12
1317,2015-01-22,21:00:41
1318,2015-01-22,21:36:48
1319,2015-01-22,22:24:05
1320,2015-01-22,23:02:31
1381,2015-01-23,20:08:54
1382,2015-01-23,20:11:35
1383,2015-01-23,20:24:59
1384,2015-01-23,20:31:01
1385,2015-01-23,20:57:30
1386,2015-01-23,21:01:24
1387,2015-01-23,21:11:38
1388,2015-01-23,22:04:12
1389,2015-01-23,22:05:37
1441,2015-01-24,20:13:00
1442,2015-01-24,20:21:20
1443,2015-01-24,20:23:34
1444,2015-01-24,20:29:10
1445,2015-01-24,20:29:40
1446,2015-01-24,20:40:47
1447,2015-01-24,20:41:28
1448,2015-01-24,20:59:29
1449,2015-01-24,21:12:27
1450,2015-01-24,21:23:08
1451,2015-01-24,21:23:59
1452,2015-01-24,22:32:11
1489,2015-01-25,20:01:54
1490,2015-01-25,20:07:13
1491,2015-01-25,20:19:40
1492,2015-01-25,20:46:56
1493,2015-01-25,21:00:40
1494,2015-01-25,21:01:50
1495,2015-01-25,21:17:32
1496,2015-01-25,21:32:38
1547,2015-01-26,20:58:38
1548,2015-01-26,20:59:51
1549,2015-01-26,21:12:55
1550,2015-01-26,21:23:19
1551,2015-01-26,21:37:51
1604,2015-01-27,20:05:01
1605,2015-01-27,20:05:27
1606,2015-01-27,20:07:37
1607,2015-01-27,20:09:27
1608,2015-01-27,20:10:32
1609,2015-01-27,20:17:48
1610,2015-01-27,20:43:11
1611,2015-01-27,21:03:04
1612,2015-01-27,21:03:29
1613,2015-01-27,21:05:59
1614,2015-01-27,22:10:01
1615,2015-01-27,22:11:38
1616,2015-01-27,22:22:25
1617,2015-01-27,22:25:26
1663,2015-01-28,20:46:18
1664,2015-01-28,21:09:10
1665,2015-01-28,21:24:32
1666,2015-01-28,21:28:58
1667,2015-01-28,21:41:42
1668,2015-01-28,22:28:44
1716,2015-01-29,20:05:12
1717,2015-01-29,20:15:35
1718,2015-01-29,20:15:51
1719,2015-01-29,20:23:41
1720,2015-01-29,20:37:53
1721,2015-01-29,20:38:52
1722,2015-01-29,20:41:46
1723,2015-01-29,20:50:55
1724,2015-01-29,21:04:42
1725,2015-01-29,21:27:53
1726,2015-01-29,22:44:10
1773,2015-01-30,20:06:40
1774,2015-01-30,20:07:05
1775,2015-01-30,20:07:17
1776,2015-01-30,20:09:16
1777,2015-01-30,20:11:18
1778,2015-01-30,20:26:02
1779,2015-01-30,20:27:12
1780,2015-01-30,20:54:47
1781,2015-01-30,21:05:03
1782,2015-01-30,21:05:29
1783,2015-01-30,21:05:39
1784,2015-01-30,21:06:05
1785,2015-01-30,21:08:02
1786,2015-01-30,21:20:25
1787,2015-01-30,21:25:54
1788,2015-01-30,21:35:08
1789,2015-01-30,21:49:27
1790,2015-01-30,22:07:03
1791,2015-01-30,22:46:02
